,answers,district,month,query-type,questions,state
364,"['please visit TAO for subsidy related information', 'guide to visit tao.']",RATNAGIRI,2,	Plant Protection	,for govt schemes,MAHARASHTRA
365,"[""Dear in your's Indore mandi the rate of soybean crop is 600 Rs. minimum/quintal 3015 Rs. maximum/quintal 2950 Rs. average/quintal.""]",SAGAR,9,Market Information,about at farmer indore know madhya mandi of of pradesh rate soybean to wants,MADHYA PRADESH
366,"['Recommended for to control of fungal attack in black gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack spray carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack in  black gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water']",JABALPUR,4,	Plant Protection	,about attack black control crop farmer fungal gram how in information know of to to wants,MADHYA PRADESH
367,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],BARMER,6,	Plant Protection	,control fungel in me pomegranate tell,RAJASTHAN
368,['BARMER  MOTH 3000 rs/quntal'],BARMER,6,Market Information,barmer bhav in mandi me moth of tell,RAJASTHAN
369,"['VARIETY OF CHILLI = RCH 1, NP-46, PUSA JWALA, MATHANIA LONG, PANT C 2']",BARMER,5,	Plant Protection	,chilli me of tell varity,RAJASTHAN
370,"['Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custerd apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.', 'Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custard apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.']",SAGAR,2,	Plant Protection	,control crop cucumber farmer in information measures needs of pest regarding,MADHYA PRADESH
371,"['Recommended for Aside from DIB hole clean from top to bottom 2 cm Thick clay clean bucket or tray and put in the bottom to take out. collected the soil by hand, mix thoroughly and put on clean clothes pile , make a goal . Different finger to remove dirt from the pile of four equal parts . Now the remaining two parts of the soil again to mix well and set goals . This process is then repeated until almost half forts Top soil remains . The representative samples.', 'Recommended for  Aside from DIB hole clean from top to bottom 2 cm Thick clay clean bucket or tray and put in the bottom to take out. collected the soil by hand, mix thoroughly and put on clean clothes pile , make a goal . Different finger to remove dirt from the pile of four equal parts . Now the remaining two parts of the soil again to mix well and set goals . This process is then repeated until almost half forts Top soil remains . The representative samples.', 'Recommended for Aside from DIB hole clean from top to bottom 2 cm Thick clay clean bucket or tray and put in the bottom to take out. Collected the soil by hand, mix thoroughly and put on clean clothes pile, make a goal. Different finger to remove dirt from the pile of four equal parts. Now the remaining two parts of the soil again to mix well and set goals. This process is then repeated until almost half forts Top soil remains. The representative samples.', 'Recommended for  Aside from DIB hole clean from top to bottom 2 cm Thick clay clean bucket or and put in the bottom to take out. collected the soil by hand, mix thoroughly and put on clean clothes pile , make a goal . Different finger to remove dirt from the pile of four equal parts . Now the remaining two parts of the soil again to mix well and set goals . This process is then repeated until almost half forts Top soil remains . The representative samples.']",DAMOH,9,Soil Testing,about collection farmer for information know of sample soil soil testing to wants,MADHYA PRADESH
372,['Recommended for spray of imidaclorprid 17.8% SL 5 to 7 ml at 15 liter of water control of white fly.'],JABALPUR,6,Cultural Practices,control crop farmer gram green in information measures need of pest regarding sucking,MADHYA PRADESH
373,['SPRAY OF CAEPHATE 2 GM/LITRE'],AJMER,8,	Plant Protection	,control curul in leaf me tell tomato,RAJASTHAN
374,"['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER', 'FYM-20 KG']",ALWAR,6,Fertilizer Use and Availability,growth guavava in me tell,RAJASTHAN
375,['recommended to control measures of caterpillars/larva in bengalgram crop Triazofos 40 EC 30 ml per pump'],SAGAR,1,	Plant Protection	,bengalgram caterpillars control crop farmer in information larva measures needs of regarding,MADHYA PRADESH
376,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],BANSWARA,9,	Plant Protection	,control inmoong me sundi tell,RAJASTHAN
377,['spraying at flowering stage on MANGO -00 52 34 60 gm + microla 30 ml + BAVISTIN 30 GRAM / 15 lit water'],THANE,1,Nutrient Management,about asking for mango spraying,MAHARASHTRA
378,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],BANSWARA,1,Nutrient Management,in maize management me nutrient tell,RAJASTHAN
379,"['Hybrid Paddy varieties : Ajay, Rajalaxmi(130-135days)PRH-122 or Ganga(130days)PNPH- 24(125-130days) and CR-Dhan-701(140days, tall hybrid, Super fine)']",BALANGIR,6,Varieties,hybrid paddy varieties,ODISHA
380,"['SPRAY OF CARBENDAZIM 2 GM PER LITER WATER', 'DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION']",BARMER,7,	Plant Protection	,control in me moong root rot tell,RAJASTHAN
381,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],BARMER,5,	Plant Protection	,bajra control in me of root rot tell,RAJASTHAN
382,['SPRAY OF RIDOMIL GOLD 2 GM PER LITER WATER'],BARMER,2,	Plant Protection	,control disease fungal me of tell,RAJASTHAN
383,['18001806224- ABOUT ANIMAL HUSBANDRY'],BANSWARA,4,Dairy Production,about animal husbandry me tell,RAJASTHAN
384,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],AJMER,9,	Plant Protection	,about controle cucumber in me tell yellowing,RAJASTHAN
385,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],ALWAR,5,Fertilizer Use and Availability,guaga in me root rot tell,RAJASTHAN
386,['Recommended for Spray of Chlorpyriphos 50% + Cypermethrin 5% EC 1000 Ml. / hac.'],SAGAR,1,	Plant Protection	,attack caterpillars control coriander crop farmer in information measures need of regarding,MADHYA PRADESH
387,"['RECOMMENDED TO SPRAY CHLOROPYRIPHUS 2ML/ LIT WATER FOR CONTROL OF LEAF EATING CATER PILLAR IN PUMPKIN', 'RECOMMENDED TO SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF EATING CATER PILLAR IN PUMPKIN']",BALANGIR,6,	Plant Protection	,cater eating in leaf pillar pumpkin,ODISHA
388,"['use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 8-10 kg of sand and broad cast in 1 acre of field or chloropyriphos 10% granule 10 kg per hectare broadcast with 4 kg sand or chloropyriphos 4% dust 6 kg per acre broadcast with 8-10 kg sand and chloropyriphos 20 EC @ 20-25 ml per pump for control Shoot and fruit borer.', 'use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 8-10 kg of sand and broad cast in 1 acre of field and chloropyriphos 20 EC @ 20-25 ml per pump for control Shoot and fruit borer.', 'use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 8-10 kg of sand and broad cast in 1 acre of field and emamectin benjoate 5% SG 8- 10 gram per pump.', 'use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 8-10 kg of sand and broad cast in 1 acre of field or chloropyriphos 10% granule 10 kg per hectare broadcast with 4 kg sand or chloropyriphos 4% dust 6 kg per acre broadcast with 8-10 kg sand and emamectin benjoate 5% SG 8- 10 gram per pump', 'use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 8-10 kg of sand and broad cast in 1 acre of field or chloropyriphos 10% granule 10 kg per hectare broadcast with 4 kg sand or chloropyriphos 4% dust 6 kg per acre broadcast with 8-10 kg sand.']",SAGAR,2,	Plant Protection	,caterpillars chickpea control crop farmer in information larva measures needs of regarding,MADHYA PRADESH
389,['VEARIETY OF LEMON Vikram and Rasraj'],BARMER,6,Seeds and Planting Material,lemon me of tell veariety,RAJASTHAN
390,"['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER', 'SPRAY OF NPK 10 GM/LITRE', 'NO CHEMICAL FOR BETTER FLOWERING IN GUAR']",ALWAR,6,	Water Management	,growth gwar in me tell,RAJASTHAN
391,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER'],AJMER,7,	Plant Protection	,bacterial blight control disease in me of rose tell,RAJASTHAN
392,['Sowing on time: -\r\nSowing during the first week of June from the last week of June to 4-5 inches of rain.'],SAGAR,6,Sowing Time and Weather,crop farmer know of of season seed sowing soybean to want,MADHYA PRADESH
393,['plantation distance in tulsi  - 40*40 cm'],RAIGARH,4,Cultural Practices,about asked cultivation of tulsi,MAHARASHTRA
394,"['Recommended for know information about agriculture insurance contact to your nearest bank & dial 0755-4026101, 4026102, 4026103.', 'Recommended for know information about agriculture insurance contact to your nearest bank & dial 0755-4026101, 4026102, 4026103.\r\nToll free number 18002660700. 18001030061', 'Recommended for know information about agriculture insurance contact to your nearest bank & dial 0755-4026101, 4026102, 4026103.Toll free number 18001030061', 'Recommended for know information about agriculture insurance contact to your nearest bank & dial 0755-4026101, 4026102, 4026103.\r\nToll free number 18001030061', 'Recommended for know information about agriculture insurance contact to your nearest bank & dial 0755-4026101, 4026102, 4026103.\r\nToll free number 18002660700.', 'Recommended for know information about agriculture insurance contact to your nearest bank & dial 0755-4218901, 4218902, 4218903.', 'Recommended for know information about agriculture insurance contact to your nearest bank & dial Toll free number 18001030061', 'Recommended for know information about agriculture insurance contact to your nearest bank & dial 0755-4218901, 4218902, 4218903', 'Toll free number : 1800-2-700-700', 'recommended for know information about agriculture insurance contact to your nearest bank & dial 0755-4026101, 4026102, 4026103.\r\nToll free number 18002660700. 18001030061\r\nRec']",JABALPUR,6,Crop Insurance,agriculture farmer information insurance madhya needs pradesh regarding,MADHYA PRADESH
395,"['?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",SAGAR,3,	Plant Protection	,control crop farmer green how in information moong needs pest regarding sucking to,MADHYA PRADESH
396,"['FYM-20,SSP-300,MICRONUTRIENDT 100 GM/PLANT', 'MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE', 'FERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT', 'FYM-30 KG,SSP-400 GM,MICRONUTRIENT 100 GM/[PLANT', 'FERTILIZER DOSE FOR FYM= 30 KG, UREA= 150 GM, SSP= 1500 GM, MOP= 500 GM , MICRONUTRIENT 100 GRAMPER PLANT', 'SPRAY OF NPK 10 GM/LTRE', 'SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER']",BARMER,2,Fertilizer Use and Availability,growth in lemon me tell,RAJASTHAN
397,['Recommended for Spray of Trizophos 40 EC 1000 Ml. / hac.'],DAMOH,7,	Plant Protection	,caterpillars control crop farmer fruit in information jack measures need of regarding,MADHYA PRADESH
398,"['SPRAY FLUBENDIAMIDE (FAME) @ 5ML/15LIT WATER FOR FRUIT AND SHOOT BORER IN BRINJAL', 'RECOMMENDED TO SPRAY FAME 5ML/15 LIT WATER FOR CONTROL OF SHOOT AND FRUIT BORER IN BRINJAL']",CUTTACK,6,	Plant Protection	,and borer brinjal fruit in shoot,ODISHA
399,"['3610 RU /QU', '3100 RU /QU GVAR RATE']",BARMER,3,Weather,gvar jodpur mandi me of rate tell,RAJASTHAN
400,['recommended for to control stem borer in paddy apply phorate 10G @ 12.5kg/hac.'],DAMOH,7,Weather,about borer control farmer how in information know paddy stem to to want,MADHYA PRADESH
401,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER'],BARMER,9,	Plant Protection	,bacterial blight control disease in me moong of tell,RAJASTHAN
402,['Spray N: P: K 19:19:19 100 grams /15 liter of water.'],DAMOH,7,Fertilizer Use and Availability,about and bean better crop farmer fertilizer for give growth in information know nutrient to urd want which,MADHYA PRADESH
403,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],ALWAR,9,	Plant Protection	,control cotton in jhulsa me of tell,RAJASTHAN
404,['SPRAY ACETAMIPRID 1GM/3LITRES OF WATER'],CUTTACK,1,	Plant Protection	,mites red,ODISHA
405,['recommended inter culture'],SAGAR,7,Weed Management,crop farmer ginger in know manage ment to want weed,MADHYA PRADESH
406,['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER'],ALWAR,5,	Plant Protection	,bt control cotton cut in inscet me of tell worm,RAJASTHAN
407,['50 %  SUBCIDIDE ON SPRINKALER'],AJMER,5,Government Schemes,me on sprinkaler subcidide tell,RAJASTHAN
408,['Apply 7.5-8 gram per pump chelated Zinc (Ethelin Diamine Tetra Acetic Acid 12.0 %) as a foliar spray or during sowing 10 kg per acre.'],SAGAR,1,	Plant Protection	,control crop disease farmer in information khira needs of regarding wheat,MADHYA PRADESH
409,['RECOMMENDED TO SPRAY COPPER OXICHLORIDE 2GM + PLANTOMYCIN 1.5 GM/ LIT WATER FOR CONTROL OF BACTERIAL LEAF BLIGHT IN CAULIFLOWER'],BALANGIR,1,	Plant Protection	,bacterial blight cauliflower in leaf,ODISHA
410,['SPRAY OF CAEPHATE + MENCOZEB 2 GM/LITRE'],ALWAR,3,	Plant Protection	,bhindi blight clontrol in me tell,RAJASTHAN
411,['E-MITRA WEBSITE FOR AG. SUBSIDY = SSDG.RAJ.GOV.IN'],ALWAR,9,Government Schemes,ag e for me mitra subsidy tell website,RAJASTHAN
412,"['Ans:- recommended for foliar application of IFFCO 19:19:19 water \r\nsoluble fertilizer @ 100 gm/pump.', 'Recommended for foliar application of NPK 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for foliar application of urea water soluble fertilizer @ 100 gm/pump.', 'Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of wheat foliar application of IFFCO 0:52:34 water soluble fertilizer @ 100 gm/pump.', 'Ans:- recommended for foliar application of IFFCO 19:19:19 water\r\nsoluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of WHEAT foliar application of IFFCO 0:52:34 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of wheat foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Ans:- recommended for foliar application of IFFCO 0:52:34 water \r\nsoluble fertilizer @ 100 gm/pump.']",JABALPUR,1,Cultural Practices	,about farmer growth how increase information know of to to wants wheat,MADHYA PRADESH
413,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,2,	Plant Protection	,control dieback in mango me tell,RAJASTHAN
414,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],ALWAR,7,Fertilizer Use and Availability,cotton management me nutrient tell,RAJASTHAN
415,"['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER FOR CONTROL OF WHITE RUST DISEASE IN MUSTARD', 'SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER']",ALWAR,2,	Plant Protection	,control disease in me tell,RAJASTHAN
416,['Ajmer Dr. R.N. Lamrod (Add. Charge)F.D.O. 9461478485\r\nJAIPUR CONT. 01415116242'],AJMER,5,Fish  Marketing,cont department fisheries government me of of rajasthan tell,RAJASTHAN
417,['AG. INSURANCE COMPANY OF INDIA 18001030061'],ALWAR,1,Government Schemes,about ag info insurance me tell,RAJASTHAN
418,"['VERMICOMPOST-02982-260123', 'ABOUT VERMICOMPOST-01468-275276']",BARMER,3,Government Schemes,about me tell vermicompost,RAJASTHAN
419,['Error in data connection. Please try after some time.'],DAMOH,8,Market Information,crop damoh in mandi of price wheat,MADHYA PRADESH
420,"['RECOMMENDED TO SPRAY THIOMETHOXAM 5 GM/10 LIT WATER FOR CONTROL OF WHITE FLIES IN  BRINJAL', 'RECOMMENDED TO SPRAY THIOMETHOXAM 5 GM/10 LIT WATER FOR CONTROL OF WHITE FLIES IN BRINJAL', 'RECOMMENDED TO SPRAY THIOMETHOXAM  5GM/ 10 LIT WATER FOR CONTROL OF WHITE FLIES IN BRINJAL', 'RECOMMENDED TO SPRAY THIOMETHOXAM 5GM/10 LIT WATER FOR CONTROL OF WHITE FLIES IN BRINJAL']",CUTTACK,3,	Plant Protection	,brinjal flies in white,ODISHA
421,['RECOMMENDED TO SPRAY MIRACULAN @ 1 ML / 1 LIT OF WATER'],BALANGIR,3,Cultural Practices	,groundnut growth in plant regulator,ODISHA
422,"['RECOMMENDED TO SPRAY THIAMETHOXAM @ 8 GRAM / 15 LIT OF WATER', 'RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER']",BALASORE,4,	Plant Protection	,gourd in leaves of pointed yellowing,ODISHA
423,['Pusa naveen'],SAGAR,3,Vegetative Propagation and Tissue Culture,about bottle crop farmer gourd how information know of to variety want,MADHYA PRADESH
424,['Spray prophenophos or dimethoate @ 2ml/litre.\r\n    Spray Fish oil rosin soap @ 25g/litre'],SAGAR,4,	Plant Protection	,about bug control crop farmer how in information know marigold mealy to to want,MADHYA PRADESH
425,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],AJMER,2,	Plant Protection	,blight chilli control in me tell,RAJASTHAN
426,['SPRAY IMIDACLOPRID @ 1 ML / 3 LIT OF WATER'],BALANGIR,3,	Plant Protection	,in leaves of pumpkin yellowing,ODISHA
427,"['""\r\nCONTACT NUMBER FOR MASRUM TRANING  KVK GANGANAGAR = 0154-2440532']",ALWAR,4,Government Schemes,me mushroom of tell traning,RAJASTHAN
428,['IN NOKHHA MANDI RATE OF CUMIN  16600 RUPEES PR Q'],BARMER,5,Market Information,mandi me nrate ocumin tell,RAJASTHAN
429,['SPRAY METHYLE DEMETON 25 EC 2ML PER LITRE'],ALWAR,3,	Plant Protection	,beetle control in jackfruit me tell,RAJASTHAN
430,"['DRENCHING OF CARBENDAZIM 2 GM PER LITER', 'SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER']",ALWAR,3,	Plant Protection	,citrus in me plant protection tell,RAJASTHAN
431,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,1,	Plant Protection	,about chilli control in me pest sucking tel,RAJASTHAN
432,"['FERTILIZER IN LEMON OF 3 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT', 'FERTILIZER IN LEMON OF 3 YRS. FYM= 10 KG, UREA= 50 GM, DAP= 50 GM, MOP= 50 GM PER PLANT']",ALWAR,2,Nutrient Management,3 fertilizer in lemon me of tell yrs,RAJASTHAN
433,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,6,	Plant Protection	,chillies control curl in meleaf tell,RAJASTHAN
434,['SPRAY OF SULPHURE 2GM/LITER WATER FOR FROST SAVING'],BARMER,1,	Plant Protection	,about cumin frost in me saving tell,RAJASTHAN
435,"['Recommended for to know information goat farming more detail to contact this no.-94252-05158,07763-223495 raigarh']",DAMOH,2,	Maket Information	,about farmer farming goat information know to wants,MADHYA PRADESH
436,['Recommended for Spray liquid sulpher 40 ml per pump and maintain fume in evening time all around the field.'],DAMOH,1,Cultural Practices	,crop farmer from frost how know my protect to to want,MADHYA PRADESH
437,['CONTACT NEAR BANK'],ALWAR,1,Animal Nutrition,about animal lown me tell,RAJASTHAN
438,['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER'],ALWAR,3,	Plant Protection	,control curl in leaf me of tell tomato,RAJASTHAN
439,"['NAGAUR  JEERA (CUMIN) 18200', 'JODHPUR (GRAIN)  ISABGOLE 10400', 'JODHPUR (GRAIN)  ISABGOLE 9955', 'JODHPUR (GRAIN)  JEERA (CUMIN) 16250', 'ALWAR  WHEAT 1482 1630', 'BIKANER (GRAIN)  GRAM 5679', 'JODHPUR (GRAIN)\tJEERA (CUMIN)\t16750 RS/Q', 'JODHPUR (GRAIN)  JEERA (CUMIN) 15985', 'JODHPUR (GRAIN)  JEERA (CUMIN) 15755', 'JODHPUR (GRAIN)  ISABGOLE 10240', 'ALWAR  GRAM 5125', 'BARMER  MOTH 3400', 'ODHPUR (GRAIN)\tGOWAR\t3502 RS/Q', 'JODHPUR (GRAIN)  JEERA (CUMIN) 16950']",BARMER,5,Market Information,mandi me rate tell,RAJASTHAN
440,"['RECOMMENDED TO SPRAY SPINOSAD 5 ML / 15 LIT WATER', 'RECOMMENDED TO SPRAY SPINOSAD 1ML/3 LIT WATER FOR CONTROL OF FRUIT BORER IN BITTER GOURD', 'RECOMMENDED TO SPRAY EMMAMECTIN BENZOATE @ 8 GRAM / 15 LIT OF WATER', 'SPRAY TRIAZOPHOS @ 2ML/1LIT WATER FOR FRUIT BORER IN BITTER GOURD']",BALANGIR,6,	Plant Protection	,bitter borer fruit gourd in,ODISHA
441,['USE-MANUARE AND FERTILIZER.'],ALWAR,4,Fertilizer Use and Availability,affacted bail growth me tell,RAJASTHAN
442,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,1,Nutrient Management,in management me micro nutrient pea tell,RAJASTHAN
443,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],AJMER,5,	Plant Protection	,about bean cluster control in insect me tell,RAJASTHAN
444,['SPRAY OF BELETON 1 ML PER LITER WATER'],AJMER,8,	Plant Protection	,control coriender fungs in me of tell,RAJASTHAN
445,"['PLANOFIX 1 ML /4 LITER WATER SPREY', 'SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER']",ALWAR,1,	Plant Protection	,down fall flower in me papaya tell,RAJASTHAN
446,"[""Dear in your's sagar mandi the rate of wheat crop is 1750 Rs. minimum/quintal 2125 Rs. maximum/quintal 1950 Rs. average/quintal.""]",SAGAR,1,Market Information,about at farmer know madhya mandi of of pradesh rate sagar to wants wheat,MADHYA PRADESH
447,"['Monocrotophos 36 s. L. 800 ml. / hac. Rate of spray. |', 'Recommended for Spray of Monocrotophos 36 s. L. 800 ml. / hac.', 'Spray emamectin benjoate 5% SG 8- gram per pump', 'Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac. Rate of spray. |', 'Recommended for Spray of Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac.', 'Recommended for Spray of Troijofos 40 EC 40 m.l./pump']",JABALPUR,1,	Plant Protection	,caterpillars control crop how in soyabean to,MADHYA PRADESH
448,"['Recommended for to control of fungal attack in paddy crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water.', 'Recommended for to control of fungal attack in gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack in paddy crop use tricyclazol 20gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack in paddy crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water']",JABALPUR,9,	Plant Protection	,about attack control crop farmer fungal how in information know of paddy to to wants,MADHYA PRADESH
449,['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.'],SAGAR,5,Agriculture Mechanization,attack control farmer fungal in information measures need of regarding,MADHYA PRADESH
450,"['VARIETY OF TIL---VNYAK,PRACHI,UMA,NIRMAL.']",DHENKANAL,3,Cultural Practices	,of til variety,ODISHA
451,['RECOMMENDED TO SPRAY TATAMIDA 1ML/3 LIT WATER FOR CONTROL OF SUCKING PEST OF CHILLIES'],BALANGIR,7,	Plant Protection	,chillies of pest sucking,ODISHA
452,"['use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 15-20 kg of sand and broad cast in 1 acre of field']",SAGAR,6,Nutrient Management,borer control crop farmer in information measures needs of regarding root soybean,MADHYA PRADESH
453,"['VARIETY OF BT COTTON = TULSI-4,TULSI-118, MRCH 7017, MRCH 6304, ANKUR 3028, BIO SEED 6488', 'VARIETY OF BT COTTON = MRC -7017(BG 2),BIO SEED 6588,MRCH 6304,ANKUR 3028', 'VARIETY OF BT COTTON = MRCH -7017(BG 2),BIO SEED 6588,MRCH 6304,ANKUR 3028', 'VARIETY OF BT COTTON = MRCH -7017(BG 2),BIO SEED 6588, MRC 7351, MRCH6304,ANKUR 3028', 'VARIETY OOF BT COTTON -RCH-314,RCH-134,RCH-650,MRCH-6025', 'VARIETY OF BT COTTON = TULSI-4,TULSI-118, MRCH 7017, MRCH 6304, ANKUR 3028, BIO SEED 6588', '= MRCH -7017(BG 2),BIO SEED 6588,MRCH 6304,ANKUR 3028']",ALWAR,5,Varieties,about bt cotton me of tell variety,RAJASTHAN
454,"['FERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT']",BARMER,2,Fertilizer Use and Availability,fertilizer in lemon me telll,RAJASTHAN
455,['market information of bangal gram for Damoh 950 Tones  minimum-5000 maximum-5100 average-5050 Rs/Quintal'],DAMOH,4,Market Information,about chana farmer information information know market of to wants,MADHYA PRADESH
456,"['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER', 'SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER', 'Anthracnose and stalk end-rot\r\n Pre-harvest spraying of Mancozeb 2g/lit or Carbendazim 1g/lit or Thiophanate methyl 1g/lit or Chlorothalonil 2 g/lit, 3 times at 15 days interval will control anthracnose and stalk end-rot.', 'SPRAY OF MENCOZEB 2 GM PER LITER WATER']",ALWAR,6,	Plant Protection	,control disease in mango me tell,RAJASTHAN
457,['recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water'],MANDLA,2,	Plant Protection	,attack control cowpea crop farmer fungal in information measures need of regarding,MADHYA PRADESH
458,"['VARIETY OF GROUNDNUT = GG 20, HNG 10, M 13, TG 37 A']",BARMER,5,Varieties,groundnut me of tell vareiety,RAJASTHAN
459,"['recommended for to control of fungal attack use copper oxy chloride 30 gram and streptocyclin 2 gram at 15 liter of water', 'recommended for to control of fungal attack in gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.', 'recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water']",JABALPUR,6,	Plant Protection	,about attack control crop farmer fungal how in information know of paddy to to want,MADHYA PRADESH
460,['?????????????? 20% ?.??. 2 ??.??. ????? ???? ???? ??? ??? ?? ?? ??????? ??? ??????'],ALWAR,5,	Plant Protection	,control in me rose tell termaite,RAJASTHAN
461,['SPRAY TARGA SUPER @ 2 ML / 1 LIT OF WATER'],CUTTACK,2,Cultural Practices,in management onion weed,ODISHA
462,"['rejent=15ml+microla=30ml+redomil gold=30gm,,15 LITER WATER']",RAIGARH,2,	Plant Protection	,attack chilli thrips,MAHARASHTRA
