,answers,district,month,query-type,questions,state
216,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],AJMER,7,Nutrient Management,control drop flower me tell,RAJASTHAN
217,"['RECOMMENDED TO SPRAY MULTI-K 7.5GM/ 1LIT WATER', 'RECOMMENDED TO SPRAY MULTI-K 7 GM/ 1LIT WATER']",BALASORE,2,Cultural Practices	,growth moong of slow,ODISHA
218,"['3555 UR QI', '3862 RU /QU']",BARMER,3,	Plant Protection	,gvar jodpur mandi me rate tell,RAJASTHAN
219,['CONTACT NEAR BANK'],ALWAR,7,Government Schemes,bout me pmfby tell,RAJASTHAN
220,"['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE', 'SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER']",ALWAR,5,	Plant Protection	,bhindi control in insect me of tell,RAJASTHAN
221,['Recommended for to control stem borer in paddy crop spray cartap hydrochloride 50% sp @300-400gm/acer'],MANDLA,8,	Plant Protection	,about borer control crop farmer how in information know paddy stem to to wants,MADHYA PRADESH
222,"['CONTACT WITH KRISHI VIGYAN KENDRA', 'CONTACT WITH DR. K.B MOHAPATRA \r\n9938225087']",BALASORE,5,	Plant Protection	,cultivation mushroom,ODISHA
223,"['VARIETY OF BT COTTON = TULSI-4,TULSI-118, MRCH 7017, MRCH 6304, ANKUR 3028, BIO SEED 6488']",AJMER,3,Seeds,cotton in me tell variety,RAJASTHAN
224,['til MINIMUM SUPPORT PRICE=  5000 (includes Rs.100/- Bonus)'],THANE,1,Market Information,minimum price support til,MAHARASHTRA
225,['RECOMMENDED TO SPRAY CHLOROPYRIPHOUS DUST 10 KG/ACRE  FOR CONTROL OF TERMITE IN BITTER GOURD'],CUTTACK,5,Cultural Practices,bitter gourd in termite,ODISHA
226,['to putup ampool of alluminium phosphide & parad tikli 10 pallets .'],SAGAR,4,	Plant Protection	,how in know of protect to weevil wheat,MADHYA PRADESH
227,"['VARIETY OF PAOAYA-?????? 786, ??? ???? , ?????, ????? ??????, ???? ?????????']",ALWAR,3,Seeds and Planting Material,me of paoaya tell variety,RAJASTHAN
228,['SPRAY OF DIFENACONAZOLE 0.5 ML PER LITER WATER'],BARMER,1,	Plant Protection	,control dis fungal in me tell,RAJASTHAN
229,"['RECOMMENDED TO APPLY CHLORPYRIFOS DUST 8KG / 1 ACRE', 'RECOMMENDED TO APPLY CHLOROPYRIPHOS DUST 8KG/ 1 ACRE']",DHENKANAL,8,Cultural Practices,in paddy problem termite,ODISHA
230,"['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack spray carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water']",SAGAR,1,	Plant Protection	,about attack control crop farmer fungal garlic how in information know of to to wants,MADHYA PRADESH
231,['recommended for spray to planofix 5-7 mili/pump'],SAGAR,4,	Plant Protection	,control crop drop flower guava how in to,MADHYA PRADESH
232,"['Recommended for Mut cow_Gumutr, in the sun can be filled in the glass vial. The old Gumutr would be much more effective. 12-15 mm Gumutr per liter mixed with water, 15 days after sowing in crop sprayer pump, each of the 10 day spraying crops resistant to disease and insects are less likely to develop outbreak.']",SAGAR,6,Bio-Pesticides and Bio-Fertilizers,about farmer know organic pesticide to wants,MADHYA PRADESH
233,['recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.'],SAGAR,5,Nutrient Management,about crop farmer gram green growth how increase information know of to to want,MADHYA PRADESH
234,['SPRAY OF COPPER OXICHLORIDE 3 GM + STREPTOCYCLIN .20 GM PER LITER WATER'],ALWAR,7,	Plant Protection	,beck citrus control die disease in me of tell,RAJASTHAN
235,['SUBSIDY ON SPRINKLER SYSTEM= 50% OF TOTAL COST'],BARMER,2,Government Schemes,on sprinkler subsidy system,RAJASTHAN
236,['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE'],ALWAR,3,	Plant Protection	,about control in insect me tell tomato,RAJASTHAN
237,"['Summer Buwai?- okra is sown in February-March. However, the early crop in Chhattisgarh since January 15 O also can be sown. If you need constant crop of okra at intervals of three weeks between February and July in various fields can be planted okra.']",SAGAR,1,Cultural Practices,crop farmer know of okra sowing time to want,MADHYA PRADESH
238,"['2. To control wild animals spray product Neelbo (Pest Control india PVT. LTD) 50 ml per pump and complain also forest department.', 'To control wild animals spray product taar', '2. To control wild animals spray product Neelbo (Pest Control india PVT. LTD) 50 ml per pump and complain also forest department. \r\nor\r\n1. To control wild animals spray product taar (Maharashtra Bio Fertilizers PVT. LTD) 2-5 ml per litre or 30-40 ml per pump Use with Unisa-82 for efficient working and complain also forest department.']",JABALPUR,8,Cultural Practices,animals control farmer information needs of regarding wild,MADHYA PRADESH
239,['Recommended for Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.'],SAGAR,1,	Plant Protection	,control control crop how in lentl pest sucking to,MADHYA PRADESH
240,['Spray Plano fix 4 to 5 Ml at 15 liter of water.'],SAGAR,4,Cultural Practices,control crop drop flower how in lemon problem to,MADHYA PRADESH
241,"['Spray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",SAGAR,4,	Plant Protection	,control control crop crop farmer farmer how how in in information information needs needs pest pest regarding regarding sucking sucking to to,MADHYA PRADESH
242,"['Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump and Trichoderma by 3-4 grams per liter of water solution at an interval of 10-15 days, 3-4 times over crop spraying airborne disease control.(individual spray)']",SAGAR,3,	Plant Protection	,brinjal farmer growth how increase information needs of regarding to,MADHYA PRADESH
243,"['VARIETY OF MOTH = CZM-2, RMO-40, RMO-435, RMO-225, RMO-257']",BANSWARA,6,Varieties,me mothbean of tell variety,RAJASTHAN
244,"['VARIETY OF KHARIF ONION = AGRIFOUND DARK RED, N-53']",ALWAR,4,Seeds and Planting Material,kharif of onion variety,RAJASTHAN
245,['SPRAY BOOM FLOWER 2ML/1LITRE OF WATER'],BALASORE,1,Cultural Practices,flower for more,ODISHA
246,['RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 2.5 GM / 1 LIT WATER'],DHENKANAL,5,	Plant Protection	,back citrus die in,ODISHA
247,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER  \r\nSPRAY OF MENCOZEB 2GM PAR LITAR WATER'],ALWAR,8,	Plant Protection	,and bitter controle fungs gourd in me pest tell,RAJASTHAN
248,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER']",BARMER,2,	Plant Protection	,about control cumin in me pest tell,RAJASTHAN
249,['??? ???? ??? ?? ??? ??- 0141-5116242  ????'],BANSWARA,9,Government Schemes,contect in me nuber tell,RAJASTHAN
250,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],BANSWARA,6,	Plant Protection	,attack bhindi in me tell thrips,RAJASTHAN
251,"['50 %  SUBCIDICE ON SEED DRILL', '50 % SUBCIDICE ON SEED DRILL']",AJMER,6,Government Schemes,drill me on seed subcidice tell,RAJASTHAN
252,['Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.'],SAGAR,3,	Plant Protection	,about attack bhindi control crop farmer fungal how in know of to to want,MADHYA PRADESH
253,['Recommended for Spray Nomini gold (Bispayriback sodium) 80 mili per acar.'],JABALPUR,7,Weed Management,crop farmer in information management need paddy regarding weed,MADHYA PRADESH
254,['SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN DISSOLVE 400 LITER WATER AFETR 15-20 DAYS OF SOWING'],BANSWARA,8,	Plant Protection	,control in me soyabeen tell weed,RAJASTHAN
255,['Recommended for Spray of Troijofos 40 EC 40 Ml. /pump.'],SAGAR,7,Cultural Practices,caterpillars control crop farmer in information measures need of onion pest regarding sucking,MADHYA PRADESH
256,['SPRAY SULPHEX @ 2GM/1LIT WATER FOR POWDERY MILDEW IN PUMPKIN'],BALANGIR,2,	Plant Protection	,in mildew powdery pumpkin,ODISHA
257,['recommended for to control of tarmit attack in  lentil crop plz drench the field with chlorpyriphos'],JABALPUR,2,	Plant Protection	,about attack control crop farmer how in information know lentil of tarmit to to want,MADHYA PRADESH
258,['SPRAY OF MALATHIAN 50% EC 2 ML PER LITER WATER'],BARMER,4,	Plant Protection	,bhindi control in in insect me tell,RAJASTHAN
259,['SPRAY  OF PROPICONAZOLE 1 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,conrol disease fungal in kathal me tell,RAJASTHAN
260,"['Recommended for spray  hexaconazol 5% EC 400ml at per Acre.', 'Recommended for spray hexaconazol 5% EC 400ml at per Acer.']",SAGAR,6,	Plant Protection	,about blast control crop farmer how know of paddy to to want,MADHYA PRADESH
261,"['Jabalpur 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Mostly dry. Warm (max 31\xc2\xb0C on Sun afternoon, min 23\xc2\xb0C on Sat night). Wind will be generally light']",JABALPUR,9,Weather,distt jabalpure,MADHYA PRADESH
262,['Spray copper oxychloride 50% WP 45 gram per 15 litter of water .'],SAGAR,9,	Plant Protection	,control crop farmer fungal howto in infection know to want,MADHYA PRADESH
263,['RECOMMENDED TO SPRAY QUAINALPHUS 2ML/ LIT WATER FOR CONTROL OF BIHAR HAIRY CATER PILLAR IN GREEN GRAM'],CUTTACK,3,	Plant Protection	,bihar cater gram green hairy in pillar,ODISHA
264,"['SUBCIDICE SC,ST CATEGORIES 33.33 %,OBC CATEGORY-25 %']",ALWAR,9,Integrated Farming,about airy lown me tell,RAJASTHAN
265,"['varieties of okra- pusa A-4, ARKA ANAMIKA, ARKA ABHAY,VARSHA UPHAR.']",SAGAR,1,Seeds and Planting Material,farmer information of okra to varieties wants,MADHYA PRADESH
266,"['Minimum- 3151 Rs/Quintal, Maximum-3376 Rs/Quintal, Modal price-3230 Rs/Quintal', 'Minimum-3400  Rs/Quintal, Maximum-3826  Rs/Quintal, Modal price-3635  Rs/Quintal']",DAMOH,6,Market Information,farmer in information katni lentil mandi market needs of rate regarding,MADHYA PRADESH
267,"['SUBSIDY IS 25 % FOR GENERAL FARMER AND 33.3 % FOR SC,ST FARMER AND YOU SHOULD CONTECT YOUR NEAREST BANK BRANCH AND ANIMAL HOSPITEL']",ALWAR,9,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",about accourding animal dairy deds loan me on subsidy tell udhaymita vikash yogana,RAJASTHAN
268,"['Recommended for spray  Tricoderma  viride 2.5 kg/ha mix in 50 kg FYM/acre , sprinkered with water and cover with polythein and apply after 2 days when proper moisture in field']",DAMOH,4,	Plant Protection	,control disease for future gram how in we wilt,MADHYA PRADESH
269,"['Recommended for varieties of bitter gourd Co 1, MDU 1, COBgoH 1 (Hybrid), Arka Harit, Priya and Preethi are the popular varieties of bitter gourd under cultivation', 'Recommended  for varieties of  bitter gourd Co 1, MDU 1, COBgoH 1 (Hybrid), Arka Harit, Priya and Preethi are mainly cultivated.']",SAGAR,5,Seeds and Planting Material,about bitter farmer gourd information know of to varieties wants,MADHYA PRADESH
270,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],BARMER,1,	Plant Protection	,control esabgol in me of root rot tell,RAJASTHAN
271,['RECOMMENDED TO SPRAY FANTAC PLUS 7ML/15 LIT WATER AT AFTERNOON'],BALANGIR,2,Cultural Practices,flowering hormone in watermelon,ODISHA
272,"['use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 8-10 kg of sand and broad cast in 1 acre of field or chloropyriphos 10% granule 10 kg per hectare broadcast with 4 kg sand or chloropyriphos 4% dust 6 kg per acre broadcast with 8-10 kg sand and chloropyriphos 20 EC @ 20-25 ml per pump for control Shoot and fruit borer.']",JABALPUR,2,	Plant Protection	,borer control farmer in information measures needs of regarding root wheat,MADHYA PRADESH
273,['SPRAY OF DIFENACONAZOLE 0.5 ML PER LITER WATER'],ALWAR,8,Weather,cane control fujaran in me sugar tell,RAJASTHAN
274,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],AJMER,4,	Plant Protection	,black control me on rinjaka spot tell,RAJASTHAN
275,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],BANSWARA,8,	Plant Protection	,control in insect lemon me tll,RAJASTHAN
276,"['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER']",BARMER,1,	Plant Protection	,control in insect me mustrad tell,RAJASTHAN
277,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,1,Nutrient Management,couliflower in management me micro nutrient tell,RAJASTHAN
278,['recommended for spray to Emamectin benzoate 5 % 7-8 gram/pump'],JABALPUR,9,	Plant Protection	,borer brinjal control farmer how in know to to wants,MADHYA PRADESH
279,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],ALWAR,8,	Plant Protection	,control cooton curul in leaf me tell,RAJASTHAN
280,['GI-2 RI-89 VARIETY OF ISABGOLE'],AJMER,9,Varieties,about isabgole me of tell variety,RAJASTHAN
281,['JODHPUR (GRAIN)\tGOWAR\t3862 RS   Q'],BARMER,4,Market Information,gvar mand me of rate tell,RAJASTHAN
282,['CONTACT NUMBER FOR BEEKEEPING TRANING 9414222347'],BARMER,1,Training and Exposure Visits,beekeeping contact me number of tell,RAJASTHAN
283,['RECOMMENDED TO SPRAY TRIZOPHUS 2.5 ML/ LIT WATER FOR CONTROL OF POD BORER IN BEANS'],CUTTACK,1,Cultural Practices,beans borer in pod,ODISHA
284,"['VARIETY OF FODDER BAJRA= RAJCO,L-72, L-74, K- 599, RAJ BAJRA CHARI, JOINT BAJRA']",BARMER,5,Varieties,bajara fodder me of tell variety,RAJASTHAN
285,"['VARIETY OF GREENGRAM--DURGA,SAMARAT,K-851']",BALANGIR,1,Cultural Practices	,greengram of variety,ODISHA
286,['USE HEXACONAZOLE 5% EC 1 LITER PER HA WITH IRRIGATION'],ALWAR,5,	Plant Protection	,about me of okra plant protection tell,RAJASTHAN
287,['recomemded: Spray dimethoate (rogor) 30 EC 500 ml/ha \xc3\xb3r 30 ml per pump'],DAMOH,9,	Plant Protection	,chilly control crop farmer how in information needs pest regarding sucking to,MADHYA PRADESH
288,['Recommended for Use bavastim or vitavex power 2-2.50 gm per kg of seed.'],DAMOH,6,Cultural Practices,crop farmer ginger in information need regarding seed treatment,MADHYA PRADESH
289,['SPRAY OF QUINOLPHOS 25% EC 2 ML PER LITER WATER'],ALWAR,7,	Plant Protection	,control in katara me tell,RAJASTHAN
290,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],ALWAR,3,	Plant Protection	,about control in me okara tell yellowing,RAJASTHAN
291,['Bengal Gram(Gram)\t5.5\tTonnes\tOther\t5110\t5250\t5150\tRs/Quintal'],DAMOH,5,Market Information,about farmer gram in information information know mandi market of patharia to wants,MADHYA PRADESH
292,['DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA'],ALWAR,8,	Plant Protection	,about bajra control in insect me tell,RAJASTHAN
293,"['BARMER\tGOWAR\t3810 RS/QT', 'BARMER  GOWAR 3170 RS/QT', 'JODHPUR (GRAIN)\tGOWAR\t3050 RS/QT', 'BIJAYNAGAR MANDI RATE OF GOWAR 3641 RS./QT.']",BARMER,3,Market Information,about gowar mandi me of rate tell,RAJASTHAN
294,['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER'],ALWAR,7,	Plant Protection	,about aphids control cotton in me tell,RAJASTHAN
295,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml per pump.'],SAGAR,8,Cultural Practices,about control crop farmer in know of pest sucking to urd want,MADHYA PRADESH
296,['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER'],BARMER,2,	Plant Protection	,controlin insect jeera me tell,RAJASTHAN
297,['Recommended for soil testing please contact at your nearest krishi vigyan kendra or krishi upaj mandi.'],AJMER,3,Cultural Practices	,at contact for kendra krishi krishi mandi nearest or please recommended soil testing upaj vigyan your,RAJASTHAN
298,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER']",ALWAR,6,	Plant Protection	,control cotton in me of pest sucking tell,RAJASTHAN
299,"['ALWAR\tWHEAT 1482\t1630 RS/Q', 'JAIPUR (GRAIN)\tWHEAT MAXICAN\t1975 RS/Q', 'KHAIRTHAL  WHEAT 1482 1575 rs/qu.', 'JAIPUR (GRAIN)  WHEAT MAXICAN 1700 RS/Q.', 'ALWAR\tWHEAT 1482\t1620 RS/Q', 'JAIPUR (GRAIN)\tWHEAT MAXICAN\t1950 R/Q', 'AJMER (GRAIN)  WHEAT MAXICAN 1600 RS/Q.', 'KHERLI\tWHEAT 1482\t1586 RS/Q', 'ALWAR MANDI RATE OF WHEAT 1600 RS /Q', 'KHERLI MANDI RATE OF WHEAT  1540 RS/QUNTAL', 'BEAWAR\tWHEAT MAXICAN\t2100 RS/Q', 'ALWAR  WHEAT 1482 1583 RS/Q.', 'JAIPUR MANDI RATE OF WHEAT2000 RS/Q', 'BARMER MANDI RATE OF WHEAT 1760 RS /Q', 'KEKRI\tWHEAT MAXICAN\t1540 RS /Q']",ALWAR,4,Market Information,mandi me of rate tell wheat,RAJASTHAN
300,['SPRAY OF MICRONUTRIENT 4 GM PER LITER WATER'],AJMER,1,	Plant Protection	,gram growth in me proper tell,RAJASTHAN
301,['SEED RATE - 10KG/ACRE'],BALASORE,2,Cultural Practices	,rate seed,ODISHA
302,['GANGAPUR\tKAPAS AMERICAN\t6010 RU / Q'],ALWAR,2,Market Information,gangapur in informetion mandi me tell,RAJASTHAN
303,['SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN DISSOLVE 400 LITER WATER AFETR 15-20 DAYS OF SOWING'],AJMER,7,Weed Management,control guvar in me tell weed,RAJASTHAN
304,['USE CHLOROPYRIFOS 20% EC 2 ML PER LITER WATER IN ROOT ZONE'],ALWAR,5,	Plant Protection	,about conyrol me tell termite,RAJASTHAN
305,['seed rate 20-25kg/h.'],DAMOH,6,Seeds,crop of paddy rate seed,MADHYA PRADESH
306,['SPRAY OF IMAMECTIN BENZOATE 1 GM PER 3 LITER WATER'],ALWAR,4,	Plant Protection	,bhindi borer fruit in me tell,RAJASTHAN
307,['RECOMMENDED TO SPRAY SULPHUR 4 GM/ LIT WATER FOR CONTROL OF POWDERY MILDEW IN CABBAGE'],BALANGIR,3,	Plant Protection	,cabbage in mildew powdery,ODISHA
308,['PLEASE CONTACT TO NABARD BANK = Dr. Rajender Singh- Phone No. : 0141-2740821'],ALWAR,8,Market Information,bank contact me nabard no tell to,RAJASTHAN
309,"['Madhya Pradesh \tGuna \tGuna \tOil Seeds \tOther \tFAQ \t2450 \t3545 \t2815 \t21 Feb 2017', 'Madhya Pradesh \tRajgarh \tNarsinghgarh \tOil Seeds \tYellow \tFAQ \t2400 \t2890 \t2760 \t21 Feb 2017']",SAGAR,2,Market Information,about crop farmer information know mandi of rate soyabean to want,MADHYA PRADESH
310,['LAST DATE (31/7/2017)'],BALANGIR,8,Crop Insurance,pmfby,ODISHA
311,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],AJMER,2,	Plant Protection	,cauliflower control in me pest suking tell,RAJASTHAN
312,"['Culture of Edible Cultivated Mushrooms\r\nDr. Shwet kamal, Senior Scientist\r\nPhones: 91-1792-230541, 230767']",BARMER,2,Training and Exposure Visits,about contact me mushroom number of research tell,RAJASTHAN
313,['0141-5116242'],ALWAR,9,Weather,bhawan contract i krish me number pant tell,RAJASTHAN
314,['SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN DISSOLVE 400 LITER WATER AFETR 15-20 DAYS OF SOWING'],AJMER,7,	Plant Protection	,gwar in me tell weediicde,RAJASTHAN
315,['Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.'],SAGAR,1,Nutrient Management,about chillies farmer growth how increase information know of to to wants,MADHYA PRADESH
316,['RECOMMENDED TO SPRAY ACEPHATE @ 2.5 GRAM / 1 LIT OF WATER'],BALASORE,1,	Plant Protection	,chilli in mosaic problem virus,ODISHA
317,['horticulture?\r\nRecommended for know about govt. schemes of horticulture please contact rural horticulture extension officer.'],DAMOH,5,Government Schemes,farmer govt information needs of regarding schemes,MADHYA PRADESH
318,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],BARMER,1,	Plant Protection	,caterpillar control hairy in isabgol me of tell,RAJASTHAN
319,['Imidachloprid 17.8%SL(7-10ml/pump)70-80ml/acre'],JABALPUR,5,	Plant Protection	,about control farmer in information know of pest sucking to urd want,MADHYA PRADESH
320,['RECOMMENDED FOR SPRAY ACEPHATE 50%+IMIDACLOPRID 1.8%SP. {SYSTEMIC &cONTACT} @ 20 gram/pump.'],SAGAR,8,	Plant Protection	,catterpil control crop farmer how know of pest soybean sucking to to want,MADHYA PRADESH
321,['recommended for to control caterpillar in arhar  spray to Emamectin benzoate 5 % 7-8 gram/pump'],DAMOH,8,Weather,about caterpillar control farmer how in information know to to want,MADHYA PRADESH
322,['RECOMMENDED TO SPRAY CHLORPYRIFOS 2.5 ML/ 1 LIT WATER'],CUTTACK,8,	Plant Protection	,caterpillar eating gourd in leaf pointed,ODISHA
323,"['Aloe cultivation\r\nAlong with the study of the local market, aloe cultivation should be considered. This crop gets better in gently, sandy, fine drainage soil. A flat sized flat for cultivation or 60 to 75 cm Make sure to create the entire verandah at the distance. Aloe vera enhancement Planting should be cultivated as the monsoon starts. This date should be given as per the soil test. Give the crop water as per need. Applying the soil according to the need of time so as not to pollute the aloe vera with the weight of the leaves on the planted cottage or the top. Take the guidance of experts before planting.\r\n\r\nContact - 02426 - 243292\r\nMedicinal and aromatic plants,\r\nMahatma Phule Agricultural University, Rahuri, Dist. Ahmadnagar']",RAIGARH,5,Training and Exposure Visits,alovera asking cultivation of,MAHARASHTRA
324,['spray imedaclorpid @5-7 ml/pump'],SAGAR,3,	Plant Protection	,about control cucumber farmer how in information know pest sucking to to want,MADHYA PRADESH
325,['Recommended for the seed rate of urd bean 18 kg of seeds is required for a hectare.'],SAGAR,6,Seeds,about black farmer gram information is know of rate seed the to urdbean wants what,MADHYA PRADESH
326,"['USE TRICHODERMA 2.5 KG PER 100 KG FYM', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER']",ALWAR,7,	Plant Protection	,chillies control in me pest tell,RAJASTHAN
327,['0141-2350929 NUMBER PAR KARE'],BANSWARA,2,	Plant Protection	,contract farming me number polutry tell,RAJASTHAN
328,['imidacloroprid 17.8 sl 1 ml /par liter water sprey'],AJMER,2,	Plant Protection	,gram in lat me tell,RAJASTHAN
329,['SPRAY OF COBALT CHLORIDE 1 GM/100 LITRE'],ALWAR,9,	Plant Protection	,control cotton in ontrol pera tellme wilt,RAJASTHAN
330,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],BANSWARA,2,	Plant Protection	,cabbage in me tell thrips,RAJASTHAN
331,['market information o Bengal gram for  katni   minimum- 4950 maximum- 5199 average- 5000  Rs/Quintal'],DAMOH,5,Market Information,about bengal farmer gram in information information katni know market of to want,MADHYA PRADESH
332,['USE  Fipronil 0.3% GR 12-15 KG PER HA'],ALWAR,1,	Plant Protection	,control in me tell termaite wheat,RAJASTHAN
333,['0141-5116242'],BANSWARA,2,	Plant Protection	,contact krishi me number tell vibhag,RAJASTHAN
334,"['RECOMMENDED TO SPRAY PLANOFIX 1ML/5LIT WATER', 'RECOMMENDED TO SPRAY PLANOFIX 1 ML/ 5 LIT WATER']",CUTTACK,8,	Plant Protection	,flowering hormone in okra,ODISHA
335,"['Recommended for varieties of moong K851, ML131, PUSA BAISAKHI, PS16, PUSA105, HUM-1, TJM-3 are the popular varieties of moong under cultivation']",JABALPUR,3,Seeds,about crop farmer information know moong of to varieties wants,MADHYA PRADESH
336,['recommended for to control stem  borer in paddy crop spray cartap hydrochloride 50% sp @300-400gm/acer.'],JABALPUR,9,Government Schemes,about borer control crop farmer how in information know paddy stem to to want,MADHYA PRADESH
337,['SPRAY OF PARAQUAT 2 ML PER LITER WATER'],BANSWARA,7,Weather,control in me rijka tell weed,RAJASTHAN
338,['SPRAY POLYFEED @ 100GM/15LIT WATER FOR YELLOW LEAF IN BITTER GOURD'],CUTTACK,2,Fertilizer Use and Availability,bitter gourd in leaf yellow,ODISHA
339,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,3,	Plant Protection	,down fall flower in lemon me tell,RAJASTHAN
340,['DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION'],ALWAR,6,Fertilizer Use and Availability,chilles control in me root rot tell,RAJASTHAN
341,"['Spray super confidor 10 ml /15 liter water.', 'Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta', 'Spray of bio-303 15ml/15lit.water.']",RATNAGIRI,1,	Plant Protection	,attack of thrips,MAHARASHTRA
342,"['guide to visit tao.', 'please visit TAO for subsidy related information']",RATNAGIRI,6,Weather,for govt schemes,MAHARASHTRA
343,"[""Dear in your's Indore mandi the rate of soybean crop is 600 Rs. minimum/quintal 3015 Rs. maximum/quintal 2950 Rs. average/quintal.""]",SAGAR,9,Market Information,about at farmer indore know madhya mandi of of pradesh rate soybean to wants,MADHYA PRADESH
344,"['Recommended for to control of fungal attack in black gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for to control of fungal attack spray carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water']",SAGAR,7,	Plant Protection	,about attack black control crop farmer fungal gram how in information know of to to wants,MADHYA PRADESH
345,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],BARMER,6,	Plant Protection	,control fungel in me pomegranate tell,RAJASTHAN
346,['BARMER  MOTH 3000 rs/quntal'],BARMER,6,Market Information,barmer bhav in mandi me moth of tell,RAJASTHAN
347,"['VARIETY OF CHILLI = RCH 1, NP-46, PUSA JWALA, MATHANIA LONG, PANT C 2']",ALWAR,3,	Plant Protection	,chilli me of tell varity,RAJASTHAN
348,"['Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custard apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.', 'Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, 2 kg  custerd apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.']",SAGAR,5,	Plant Protection	,control crop cucumber farmer in information measures needs of pest regarding,MADHYA PRADESH
