,answers,changed-questions,district,month,query-type,state
2163,['SPRAY OF BOREX 4 GM PER LITER WATER'],control cracking fruit lemon tell,ALWAR,6,	Plant Protection	,RAJASTHAN
2164,"['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE', 'USE CHLOROPYRIFOS 20% EC 40 ML PER PALNT WITH IRRIGATION', 'USE QUINOLPHOS 25% EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB', 'USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE']",control plant tell termite,ALWAR,3,	Plant Protection	,RAJASTHAN
2165,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],control dieback mango plant tell,ALWAR,2,	Plant Protection	,RAJASTHAN
2166,"['VARIETY OF COLOCASIA---SANKHA SARU,PANISARU,MANASARU']",colocasia variety,DHENKANAL,6,Cultural Practices,ODISHA
2167,"['RECOMMENDED TO SPRAY TRIZOPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CURL IN RIDGE GOURD', 'RECOMMENDED TO SPRAY ACEPHETE 1.5 GM/ LIT WATER FOR CONTROL OF LEAF CURL IN RIDGE GOURD']",curl gourd leaf ridge,CUTTACK,2,	Plant Protection	,ODISHA
2168,"['VARIETY OF MOONG =SML 668,GM-4, RMG 492, RMG 268, RMG 344', 'VARIETY OF BAJRA = HHB 67-2, RHB 173, RHB 171, RHB 121, GHB 538']",gram green tell varieties,AJMER,6,Varieties,RAJASTHAN
2169,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],bean cluster control insect tell x,AJMER,5,	Plant Protection	,RAJASTHAN
2170,['SPRAY OF SULPHURIC ACID .5 GM/LITRE'],control frost mustard tell,ALWAR,1,	Plant Protection	,RAJASTHAN
2171,"['Imidachloprid 17.8%SL(7-10ml/pump)70-80ml/acre', 'Thiomethoxam 25 WG 50-70gm/acre or 5-7']",control farmer information know pest sucking want,SAGAR,9,Weather,MADHYA PRADESH
2172,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],brinjal controle pest tell,ALWAR,3,	Plant Protection	,RAJASTHAN
2173,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION']",control onion pest tell,ALWAR,9,	Plant Protection	,RAJASTHAN
2174,"['SEND MONEY ORDER TO AHARAN VITRAN ADHIKARI, KRISHI AYUCTALAYA, ROOM NO.- 250, PANT KRISHI BHAWAN, JAIPUR-302005 FOR GET KHETI RI BATAN MAGZINE']",batan kheti magzine ri,BARMER,2,Government Schemes,RAJASTHAN
2175,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],borer cauliflower control leaf tell,ALWAR,3,	Plant Protection	,RAJASTHAN
2176,"['recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.\r\n...', '- recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for foliar application of IFFCO 18:18:18 OR 19:19:19  water soluble fertilizer @ 100 gm/pump.', 'Ans:- recommended for foliar application of IFFCO 19:19:19 water \r\nsoluble fertilizer @ 100 gm/pump.', 'Ans:- recommended for foliar application of IFFCO 0:52:34 water \r\nsoluble fertilizer @ 100 gm/pump.', ':- recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.']",farmer growth increase information know soybean want,JABALPUR,5,	Field Preparation	,MADHYA PRADESH
2177,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],brinjal control insect tll,ALWAR,6,	Plant Protection	,RAJASTHAN
2178,"['VARIETY OF BER = SEB, GOLA, UMRAN, MUNDIYA']",ber tell variety,BARMER,7,Seeds and Planting Material,RAJASTHAN
2179,['SPRAY OF MICRONUTRIENT 4 GM PER LITER WATER'],micronutrient moong spray tell,BARMER,9,Fertilizer Use and Availability,RAJASTHAN
2180,['SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER'],management nutrient sorghum tell,ALWAR,6,Nutrient Management,RAJASTHAN
2181,['SPRAY OF DICOFOL 1.5 ML PER LITER WATER'],control garlic insect tell,ALWAR,1,	Plant Protection	,RAJASTHAN
2182,['SPRAY OF DIFENACONAZOLE 0.5 ML PER LITER WATER'],isubgol jhulsa tell,BARMER,2,Weather,RAJASTHAN
2183,"['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER', 'USE QUINOLPHOS 25% EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB', 'DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA', 'USE QUINOLPHOS 1.5% DUST 25 KG PER HA MIX IN SOIL']",control gwar insect tell,BARMER,9,	Plant Protection	,RAJASTHAN
2184,"['TELL ME VARIETY OF JEERA = RZ 19, 209, GC 4']",jeera tell tell variety,BARMER,9,Seeds and Planting Material,RAJASTHAN
2185,['Recommended for Spray of Troijofos 40 EC 1000 Ml. / hac.'],attack beetle control crop farmer girdle information measures need regarding soybean,SAGAR,7,	Plant Protection	,MADHYA PRADESH
2186,"['CONTACT VETERINARY OFFICER, BALANAGAIR DIST FOR DISEASE MANAGEMENT OF GOAT']",disease goat management,BALANGIR,8,Disease Management,ODISHA
2187,['cantect number of fisheries officer dr.U.K.tiwari 9425891770'],cantact farmer fisheries information know number officer want,SAGAR,4,Government Schemes,MADHYA PRADESH
2188,['MANDI BHAW OF MUSTERD IN KHERLI = 3521 RS/QT'],bhaw kherli mandi musterd tell,ALWAR,5,Market Information,RAJASTHAN
2189,['recommended for to control sucking pest in garlic crop spray fipronil@ 25 ml at 15 liter of water.'],control crop farmer gaerlic information know pest sucking want,SAGAR,2,	Plant Protection	,MADHYA PRADESH
2190,['Recommended for Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water.'],caterpillars control crop farmer information moong need regarding tobacco,DAMOH,5,	Plant Protection	,MADHYA PRADESH
2191,"[""Dear in your's damoh mandi the rate of Bengal gram crop is 4000 Rs. minimum/quintal 4590 Rs. maximum/quintal 4515 Rs. average/quintal."", ""Dear in your's Damoh mandi the rate of Bengal gram crop is 4090 Rs. minimum/quintal 5401 Rs. maximum/quintal 5090 Rs. average/quintal.""]",bengal damoh farmer gram know madhya mandi pradesh rate wants,DAMOH,8,Market Information,MADHYA PRADESH
2192,"['EXPECTED RAINFALL 3 MM OCCURS ON 28TH MAY 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 15 MM OCCURS IN 15 TH JULY 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 2 MM OCCURS ON 11 TH AUGUST 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 5 MM OCCURS ON 18TH AUGUST 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 3 MM OCCURS ON 7TH JULY 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 6 MM OCCURS ON 28TH AUGUST 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 7MM OCCURS ON 9TH MARCH 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 2 MM OCCURS ON 7TH SEPTEMBER 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 31 MM OCCURS ON 22ND JULY 2017 IN  CUTTACK DIST', 'EXPECTED RAINFALL 2 MM OCCURS ON 6TH MAY 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 39MM OCCURS 2ND JULY 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 1MM OCCURS ON 12TH MAY 2017 IN CUTTACK DIST', 'NO RAINFALL OCCURS FROM 19TH FEBUARY TO 24TH FEBUARY IN CUTTACK DIST', 'EXPECTED RAINFALL 11 MM OCCURS ON 20TH JUNE 2017 IN CUTTACK DIST', 'NO RAINFALL OCCURS FROM 24TH FEBUARY TO 28TH FEBUARY IN CUTTACK DIST', 'NO RAINFALL OCCURS FROM 22TH APRIL TO 28TH APRIL 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 31 MM OCCURS ON 9TH MARCH IN CUTTACK DIST', 'EXPECTED RAINFALL 12 MM OCCURS ON 4TH AUGUST 2017 IN CUTTACK DIST.', 'EXPECTED RAINFALL 2 MM OCCURS ON 13TH JUNE 2017 IN CUTTACK DIST', 'NO RAINFALL OCCURS FROM 17TH APRIL TO 23RD APRIL 2017 IN  CUTTACK DIST', 'NO RAINFALL OCCURS FROM 14TH APRIL TO 22TH APRIL 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 4 MM OCCURS ON 1ST JUNE 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 16MM OCCURS ON 7TH MARCH IN CUTTACK DIST', 'NO RAINFALL OCCURS FROM 11 TH APRIL TO 16TH APRIL 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 18MM OCCURS ON 16TH JULY 2017 IN CUTTACK DIST', 'EXPECTED RAINFALL 2 MM OCCURS ON 30TH MAY 2017 IN CUTTACK DIST']",cuttack dist forecast rainfall,CUTTACK,5,Weather,ODISHA
2193,['RECOMMENDED TO SPRAY SPINOSAD 1ML/3 LIT WATER FOR CONTROL OF FRUIT BORER IN POMEGRANATE'],borer fruit pomegranate,BALASORE,7,	Plant Protection	,ODISHA
2194,"['USE CARBENDAZIM 250 GM/ BHEEGA IN ROOT ZONE WITH IRRIGATION', 'DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION']",cauliflower control root rot tell,ALWAR,9,	Plant Protection	,RAJASTHAN
2195,"['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER', 'SPRAY OF IMAMECTIN BENZOATE 1 GM PER 3 LITER WATER']",cauliflower control insect tell,AJMER,8,	Plant Protection	,RAJASTHAN
2196,"['mahatma phule krishi vidaypeeth rahuri , phone -02426-243373']",agriculture asked contact university,THANE,8,Government Schemes,MAHARASHTRA
2197,['TOLLFREE NO. OF OTHER GOVT. DEPTT= 18001806127'],contact department government tell,ALWAR,5,Government Schemes,RAJASTHAN
2198,['CONTACT NUMBER OF BEEKEEPING TRAINING CENTRE KOTA- 0744-2326726'],beekeeping centre contact kota number tell training,ALWAR,9,Government Schemes,RAJASTHAN
2199,"['?\tIMIDACLOPRIDE 70 % WG 3-5 gram per pump\r\n?\tIMIDACLOPRIDE 30.5 %SC Agricultural insecticide  3-5 gram per pump', 'recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation\r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.\r\nimedachlorprid 5-7 ml at 15 liter of water.']",bean control crop farmer information know pest sucking urd want,SAGAR,4,	Plant Protection	,MADHYA PRADESH
2200,['Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water.'],bhindi caterpillars control crop farmer information know wants,DAMOH,5,	Plant Protection	,MADHYA PRADESH
2201,['MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE'],managementlemon nutrient tell,ALWAR,2,Fertilizer Use and Availability,RAJASTHAN
2202,['Recommended for Sulfosulfuron 75% + Metsulfuran Methyl 5% WG 16 gram per acer after 30 to 35 days of sowing.'],crops farmer information management need regarding weed wheat,SAGAR,1,Weed Management,MADHYA PRADESH
2203,['JODHPUR (GRAIN)\tGRAM\t5225 RS Q'],graim mandi rate tell,BARMER,5,Market Information,RAJASTHAN
2204,['BIKANER (GRAIN)\tGRAM\t5059'],bhav mandhi tell,BARMER,7,Market Information,RAJASTHAN
2205,['SPRAY OF BOREX 4 GM PER LITER WATER'],citrus control creacking fruite tell,BANSWARA,7,Cultural Practices,RAJASTHAN
2206,"['MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE', 'SPRAY MICRO NUTRIENT 4 G/LIT WATER']",micronutrient tell,ALWAR,2,Fertilizer Use and Availability,RAJASTHAN
2207,['RECOMMENDED TO SPRAY CHLOROPYRIPHOS 2.5 ML/ 1 LIT WATER'],black caterpillar gram,BALANGIR,8,	Plant Protection	,ODISHA
2208,['Dr.Subhash Chander Gaur\tAD Polyclinic \t9414379889'],animal contact department number tell,AJMER,5,Disease Management,RAJASTHAN
2209,"['USE  Fipronil 0.3% GR 12-15 KG PER HA', 'USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE', 'USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION']",control groundnut tell termite,BARMER,4,	Plant Protection	,RAJASTHAN
2210,['recommended for spray to daimethoate 30 mili/pump.'],control corainder crop farmer know pest sucking want,JABALPUR,2,	Plant Protection	,MADHYA PRADESH
2211,"['varieties of bottle gourd : indo american (no 204), (biyo seed ) gourav, (seminis) sharda,( ankur seed ) amit']",bottle farmer gourd information know varieties want,SAGAR,4,Seeds and Planting Material,MADHYA PRADESH
2212,['THANK YOU FOR COLLING IN KISAN CALL CENTAR'],call centar colling kisan,AJMER,9,Government Schemes,RAJASTHAN
2213,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],control insect sesame tell,BARMER,9,	Plant Protection	,RAJASTHAN
2214,['SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER'],control fenugreek insect tell,AJMER,3,	Plant Protection	,RAJASTHAN
2215,"['varieties of Okra- Pusa Sawani, Pusa A4, Perkins Long Green, Arka Anamika, Varsha Uphar,\r\nHisar Unnat, Hisar Naveen, HBH-142']",bhindi farmer know varieties want,SAGAR,2,Cultural Practices,MADHYA PRADESH
2216,['PLEASE CONTACT TO 1800-1806224'],animal asked department free number tell toll,ALWAR,6,Credit,RAJASTHAN
2217,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],control tell thrips torai,BARMER,9,	Plant Protection	,RAJASTHAN
2218,['FARVARI MARCH SOWING TIME'],papaya sowing tell time,ALWAR,3,	Plant Protection	,RAJASTHAN
2219,['SUBSIDY ON DIGGI= 50% OF TOTAL COST'],diggi information subsidy tell,BARMER,7,Government Schemes,RAJASTHAN
2220,['SPRAY OF CARTAP HYDROCHLORIDE 50% SP 1 ML PER LITER WATER'],control cutworm sorghum tell,AJMER,7,	Plant Protection	,RAJASTHAN
2221,"['Recommended for to know about govt. schemes please contect rural agriculture extansion officer', 'Recommended for to know about govt. schemes please contect rural agriculture extansion \r\nofficer ..', 'Recommended for to know about govt. schemes please contect rural agriculture extansion officer ..']",farmer govt information know schemes wants,SAGAR,3,Government Schemes,MADHYA PRADESH
2222,['USE QUINOLPHOS 25% EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB'],control cumin grub tell white,BARMER,1,	Plant Protection	,RAJASTHAN
2223,['Recommended for N: P: K 0:52:34 (momo potassium phosphate) 1 kg at per Acer or 100 gram per pump'],crop farmer growth increase information needs pea regarding,JABALPUR,1,Nutrient Management,MADHYA PRADESH
2224,['USE CARBENDAZIM 250 GM/ BHEEGA IN ROOT ZONE WITH IRRIGATION'],collor control groundnut root tell,BARMER,6,	Plant Protection	,RAJASTHAN
2225,['Sp singh bharatpur area manager 9928006541'],alwar contact distributer number seed tell,ALWAR,6,Seeds,RAJASTHAN
2226,['control  of white fly attack in watermelon Spray of imidaclorprid 17.8%SL 5 to 6 ml per 16 littre of water'],attack control crop farmer fly information know want watermelon white,JABALPUR,2,	Plant Protection	,MADHYA PRADESH
2227,['DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION'],control root rot tell tinda,ALWAR,4,	Plant Protection	,RAJASTHAN
2228,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER'],control fruit insect jack tell,ALWAR,6,	Plant Protection	,RAJASTHAN
2229,['Recommended for Spray Use Fipronil 5 % SC@ 20-25 ml per pump spray'],aphids control crop farmer gourd information know sponge want,DAMOH,5,	Plant Protection	,MADHYA PRADESH
2230,"['Recommended for to control weeds in paddy  crop spray Bispyribac Sodium 10% SC(Nominigold, philip) 8 gram per pump.', 'Recommended  for to control weeds in paddy  crop spray Bispyribac Sodium 10% SC(Nominigold, philip) 8 gram per pump.']",control crop farmer information know paddy wants weeds,JABALPUR,7,Weed Management,MADHYA PRADESH
2231,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],control cummin tell termite,BARMER,1,	Plant Protection	,RAJASTHAN
2232,['9417053726 / \r\ninfo@dasmesh.com'],farm machin tell,ALWAR,3,Post Harvest Preservation,RAJASTHAN
2233,['SPRAY THIOUREA .5 GM/LITRE'],control frost tell wheat,BARMER,1,Fertilizer Use and Availability,RAJASTHAN
2234,['Please contact 18001801199 numbers.'],cattle farmer gives information know nutrition want,SAGAR,9,Dairy Production,MADHYA PRADESH
2235,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],cotton management micro nutrient tell,ALWAR,8,Nutrient Management,RAJASTHAN
2236,['SPRAY OF HEXACONAZOLE 5% EC 2 ML PER LITER WATER'],blai control diease karela leaf tell,ALWAR,2,Weather,RAJASTHAN
2237,"['RECOMMENDED FOR SPRAY TO fipronil 5% sc 30 mili/pump.', 'recommended for spray to daimethoate 30 mili/pump.']",brinjal control crop farmer know pest sucking want,SAGAR,6,	Plant Protection	,MADHYA PRADESH
2238,['1200/HA-PREMIUM FOR PADDY IN BALASORE DISTRICT'],balasore district paddy premium,BALASORE,6,Crop Insurance,ODISHA
2239,['SPRAY ACETAMIPRID 1GM/3LITRES OF WATER'],fly white,CUTTACK,1,	Plant Protection	,ODISHA
2240,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],control musterd tell termat,ALWAR,9,Weather,RAJASTHAN
2241,['Spray of Dimethoate 30 EC (Rogar)30 ml per 16 litre of water'],control crop farmer information know pest sucking want watermelon,DAMOH,4,	Plant Protection	,MADHYA PRADESH
2242,"['Recommended for Urea 200 kg, DAP 130 kg and MOP 85 kg per hac.', 'Recommended for In cotton crop apply urea 00 kg, DAP 521kg and potash 84 kg per hactayer.']",crop dose farmer fertilizer information need regarding tomato,SAGAR,1,Fertilizer Use and Availability,MADHYA PRADESH
2243,"['Recommended for Ooty 1, Bonneville, Arkel and Azad are the popular varieties under cultivation.']",farmer information know pea varieties wants,JABALPUR,9,Seeds and Planting Material,MADHYA PRADESH
2244,['Recommended for Spray Dimethoate 30%EC (Rogar) 40 ml per pump.'],attack control crop farmer fly information measures need paddy regarding white,SAGAR,9,	Plant Protection	,MADHYA PRADESH
2245,['RECOMMENDED TO SPRAY MANCOZEAB 2GM/ LIT WATER FOR CONTROL OF LEAF BURN DISEASES IN ROSE'],burn diseases leaf rose,CUTTACK,2,	Plant Protection	,ODISHA
2246,['DUSTING OF METHYL MALATHIAN 5% 25 KG PER HA'],control insect pest tell tinda,ALWAR,4,	Plant Protection	,RAJASTHAN
2247,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],control cotton pest tekk,ALWAR,8,	Plant Protection	,RAJASTHAN
2248,"['VARIETY OF RIDGE GOURD = PUSA NASDAR, SATPUTIYA, PUSA NUTAN']",gourd ridge tell varieties,BARMER,7,Vegetative Propagation and Tissue Culture,RAJASTHAN
2249,['Recommended for to grouth of flower and fruit spray Amino acid +folic acid(fantac plas )10 + humic acid 30 ml +liquid sulpher 40  ml per pump.'],bitter crop farmer flower fruit gourd grouth information know want,SAGAR,6,	Plant Protection	,MADHYA PRADESH
2250,['control for catterpiller in moong bean  crop spray of Troijofos 40 EC (??-40ml /pump ) 1000 Ml. / hac.'],bean caterpillars control crop farmer information know moong want,SAGAR,5,	Plant Protection	,MADHYA PRADESH
2251,"['Recommended for Ahilya 1 (NRC 2), Ahilya 3 (NRC 7), Ahilya 2 (NRC 12), Ahilya 4 (NRC 37), JS 71-05, JS 335, JS 80-21, JS 75-46, MACS 58, JS 90-41, Indira Soy 9, JS 93-05, Kalitur, Parbhani Sona (MAUS 47), Pratishta (MAUS 61-2),Monetta, Punjab-1, PK 472 and Shakti (MAUS 81) are soyabean verities.', 'Ahilya 1 (NRC 2), Ahilya 3 (NRC 7), Ahilya 2 (NRC 12), Ahilya 4 (NRC 37), JS 71-05, JS 335, JS 80-21, JS 75-46, MACS 58, JS 90-41, Indira Soy 9, JS 93-05, Kalitur, Parbhani Sona (MAUS 47), Pratishta (MAUS 61-2),Monetta, Punjab-1, PK 472 and Shakti (MAUS 81) are soyabean verities.']",crop farmer know soybean varieties wants,DAMOH,6,Varieties,MADHYA PRADESH
2252,"['Recommended for In the moong crop you should be apply urea 18 kg, Signal super Phosphate 125 kg, Murate of potash 14 kg and sulpher 8 kg per Acre.']",crop dose fertilizer moong,SAGAR,3,Nutrient Management,MADHYA PRADESH
2253,"['Recommended  for varieties of SOYBEAN J.S.335,P.K. 1024, M.A.U.S. 47, N.R.C. 7(ahilya-3), N.R.C.37, J.S. 9560, J.S. 9305, J.S.9752 are the popular varieties.']",crop farmer information know soyabean varieties wants,DAMOH,5,Varieties,MADHYA PRADESH
2254,['Recommended for to know about govt. schemes please contact rural agriculture extension office'],farmer govt information know r schemes wants,JABALPUR,7,Government Schemes,MADHYA PRADESH
2255,"['Spray Profex super 20 ml/15 liter of water(Profenofos+ Cypermethrin)-Nagarjuna', 'Spray of Decis -100  15  ml/15 liter of water.', 'Chloropyriphos 30ml +bavistin 30gm/15 Liter of Water Drenching.', 'Chloropyriphos 30ml + Humic Acid 30ml/15 Liter of Water Drenching.', 'Spray Chloropyriphos 30ml/15 Liter of Water.', 'Spray Chlorpyrifos 30ml/15 Liter of Water.', 'Spray monocrotophos 15ml/15 Liter of Water.', 'ACTRA 5 GRAM  + KARATE15  MILI /PAMP SPRAY ON CROP.', 'Spray Proclaim 5 gm/15 liter of Water(Emamectin Benzoate)Syngenta']",attack caterpillar,THANE,2,	Plant Protection	,MAHARASHTRA
2256,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],diease funges long melon tell,ALWAR,4,	Plant Protection	,RAJASTHAN
2257,['TOK-E-25/NITROFEN @ 3KG/1 ACRE AS WEEDICIDE IN GROUNDNUT'],groundnut weedicide,BALANGIR,1,Agriculture Mechanization	,ODISHA
2258,"['Recommended for spray foliar application of IFFCO 0:52:34  water soluble fertilizer @ 100 gm/pump.', 'Recommended for Spray N: P: K 00:52:34 @  100 grams and humic acid 30 ml at 15 liter of water.']",better crop fertilizer give gram growth nutrient,SAGAR,1,Fertilizer Use and Availability,MADHYA PRADESH
2259,"['15-20 DAYS AFTER', '12-15 DAYS IRRIGATION']",cumin irrigation tell,BARMER,2,	Plant Protection	,RAJASTHAN
2260,['poultry farm infarmation toll free no--18002333268'],farm free infarmation poultry toll,RAIGARH,1,Animal Breeding,MAHARASHTRA
2261,['Recommended for Upon the outbreak of the standing crop termites cloropayriphos 20 EC 500 ml with irrigation water per acre to the drug. Ardhsincit land above the amount of drug dissolved in 3 liters of water mixed with 50 kg of sand spread on the farm Lgaven water.'],attack control crop farmer information measures need regarding termite wheat,JABALPUR,8,Weather,MADHYA PRADESH
2262,['SPRAY OF QUINOLPHOS 25% EC 2 ML PER LITER WATER'],cumin moyla tell,BARMER,3,	Plant Protection	,RAJASTHAN
2263,['MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE'],guvavav management nutrient tell,AJMER,2,Nutrient Management,RAJASTHAN
2264,['RECOMMENDED TO SPRAY SPINOSAD 5ML / 15 LIT WATER'],arhar borer pod,BALANGIR,1,	Plant Protection	,ODISHA
2265,['RECOMMENDED TO SPRAY IMIDACLOPRID @ 1 ML / 3 LIT OF WATER'],curling drumstick leaf,BALANGIR,6,	Plant Protection	,ODISHA
2266,['Recommended for to control of viral infection in crop use Virex H (F.I.L. company) 50 ml/at 15 liter of water.'],control crop farmer information know mosaic urdbean vein wants yellowing,SAGAR,8,Cultural Practices,MADHYA PRADESH
2267,['50 %  SUBCIDICE ON GREEN HOUSE'],green house subcidice tell,AJMER,7,Government Schemes,RAJASTHAN
2268,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER \r\n\r\nSPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER \r\n\r\nSPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],chillies contrl leafcurl tell,ALWAR,7,	Plant Protection	,RAJASTHAN
2269,['?????????????? 20% ?.??. 2 ??.??. ????? ???? ???? ??? ??? ?? ?? ??????? ??? ??????'],control sism tell termaite,ALWAR,5,	Plant Protection	,RAJASTHAN
2270,"['Farmers gram crop to increase the number of flowers per 25-30 ml pump spray to Humic Acid', 'Ans:- recommended for foliar application of 0:52:34 water soluble fertilizer @ 100 gm/pump.', 'Ans:- recommended for foliar application of IFFCO 19:19:19 water \r\nsoluble fertilizer @ 100 gm/pump.', 'Recommended for foliar application of IFFCO 0:52:34 water soluble fertilizer @ 100 gm/pump.', 'recommended for foliar application of NPK 0:52:34 water soluble fertilizer @ 100 gm/pump.']",farmer gram growth increase information know want,DAMOH,2,Cultural Practices	,MADHYA PRADESH
2271,['SPRAY OF BOREX 4 GM PER LITER WATER'],control cracking fruit plant pomegranate tell,AJMER,4,	Plant Protection	,RAJASTHAN
2272,['CONTECT IN NEAREST BANK.'],crop insurance related want,BARMER,3,Crop Insurance,RAJASTHAN
2273,"['?\tSpray fipronil 5 % (Regent)@ 25 ml at 15 liter of water.', 'Spray dimethoate 30 EC 500 ml/ha \xc3\xb3r 30 ml per pump', 'Spray Methyl demeton (metasystox 25 ec) 25 EC@ 500 ml/ha or 25 to 30 ml per pump or Spray fipronil 5 % (Regent)@ 25 ml at 15 liter of water.', 'Spray Acetamiprid 20% SP 4-6 gram per pump.', 'Spray diAmethoate 30 EC 500 ml/ha \xc3\xb3r 30 ml per pump', 'CHLORPYRIFOS 50%+CYPERMETHRIN 5%EC 25-30 ml per pump', '?\tSpray dimethoate 30 EC 500 ml/ha', 'Spray dimethoate 30 EC 500 ml/ha \xc3\xb3r 30 ml per pump \r\nor\r\nSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.', 'Spray Methyl demeton (metasystox 25 ec) 25 EC@ 500 ml/ha or 25 to 30 ml per pump...', 'Spray dimethoate 30 EC 500 ml/ha \xc3\xb3r 30 ml per pump.']",brinjal control crop farmer information needs pest regarding sucking,SAGAR,6,	Plant Protection	,MADHYA PRADESH
2274,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],bt control cotton insect tell,ALWAR,5,	Plant Protection	,RAJASTHAN
2275,['SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER'],bhindi borer control fuirt tell,ALWAR,7,	Plant Protection	,RAJASTHAN
2276,"['SPRAY STREPTOMYCIN @ 3GM + COPPER OXY CHLORIDE @ 40GM/15LIT WATER FOR COLLAR ROT IN BRINJAL', 'RECOMMENDED TO SPRAY SAAF 2 GM + PLANTOMYCIN 1 GM + 1 LIT WATER', 'RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER', 'RECOMMENDED TO SPRAY SAAF 2GM + PLANTOMYCIN 1GM + 1 LIT WATER']",brinjal collar rot,BALANGIR,3,	Plant Protection	,ODISHA
2277,['TOLLFREE NO. OF OTHER GOVT. DEPTT= 18001806127'],deptt govt information tell,AJMER,5,Government Schemes,RAJASTHAN
2278,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],control disease garlic tell,ALWAR,3,	Plant Protection	,RAJASTHAN
